,playerID,birthYear,birthMonth,birthDay,nameFirst,nameLast
318,anderdr01,1981.0,6.0,9.0,Drew,Anderson
319,anderdw01,1947.0,11.0,23.0,Dwain,Anderson
320,anderfe01,1918.0,1.0,9.0,Ferrell,Anderson
321,anderfr01,1885.0,12.0,11.0,Fred,Anderson
322,anderga01,1972.0,6.0,30.0,Garret,Anderson
323,anderge01,1889.0,9.0,26.0,George,Anderson
324,andergo01,1880.0,1.0,13.0,Goat,Anderson
325,anderha01,1904.0,2.0,10.0,Hal,Anderson
326,anderha02,1931.0,9.0,10.0,Harry,Anderson
327,anderja01,1979.0,6.0,9.0,Jason,Anderson
328,anderji01,1957.0,2.0,23.0,Jim,Anderson
329,anderji02,1976.0,1.0,22.0,Jimmy,Anderson
330,anderjo01,1873.0,12.0,14.0,John,Anderson
331,anderjo02,1929.0,11.0,23.0,John,Anderson
332,anderjo03,1982.0,8.0,10.0,Josh,Anderson
333,anderke01,1963.0,8.0,12.0,Kent,Anderson
334,anderla01,1952.0,12.0,3.0,Larry,Anderson
335,anderla02,1953.0,5.0,6.0,Larry,Andersen
336,anderla03,1987.0,9.0,25.0,Lars,Anderson
337,anderma01,1976.0,8.0,17.0,Matt,Anderson
338,anderma02,1974.0,1.0,6.0,Marlon,Anderson
339,andermi01,1951.0,6.0,22.0,Mike,Anderson
340,andermi02,1966.0,7.0,30.0,Mike,Anderson
341,anderre01,1912.0,6.0,19.0,Red,Anderson
342,anderri01,1953.0,12.0,25.0,Rick,Anderson
343,anderri02,1956.0,11.0,29.0,Rick,Anderson
344,andersc01,1962.0,8.0,1.0,Scott,Anderson
345,andersp01,1934.0,2.0,22.0,Sparky,Anderson
346,anderva01,1866.0,6.0,18.0,Varney,Anderson
347,anderwa01,1897.0,9.0,25.0,Walter,Anderson
348,anderwi01,1886.0,8.0,13.0,Wingo,Anderson
349,andinro01,1984.0,4.0,25.0,Robert,Andino
350,andrast01,1978.0,2.0,6.0,Steve,Andrade
351,andrecl01,1978.0,5.0,15.0,Clayton,Andrews
352,andreed01,1859.0,4.0,5.0,Ed,Andrews
